"round","newround.time","choice.time","buttonpress.time","conf.time","reveal.time","choice.location","choice.class","outcome","win.prob","exputil","exputil.gamble","pot.payoff","payoff","rpe","fictive"
183,677.893000088,678.65900012,679.696000061,679.716999969,680.242999992,"Right","Gamble","Win",0.8,16,16,20,20,4,10
184,681.262999973,682.029000006,682.835,682.854999981,683.380000076,"Right","Gamble","Win",0.8,20,20,25,25,5,15
185,684.400999985,685.167000017,686.150000057,686.170000038,686.696999989,"Right","Gamble","Win",0.9,13.5,13.5,15,15,1.5,5
186,687.716999969,688.482000074,689.499000034,689.519000015,690.044000111,"Right","Gamble","Loss",0.7,14,14,20,0,-14,-10
187,691.065000019,691.831000051,692.685000143,692.705000124,693.229999981,"Left","Gamble","Win",1,25,25,25,25,0,15
188,694.251000128,695.01700016,695.71999999,695.741000137,696.265000067,"Left","Gamble","Win",0.9,27,27,30,30,3,20
189,697.285999975,698.053000174,699.160999975,699.180999956,699.706000051,"Left","Gamble","Win",0.5,12.5,12.5,25,25,12.5,15
190,700.72699996,701.492000065,702.456999979,702.47699996,703.002999983,"Right","Safebet","WouldHaveLost",0,10,0,30,10,0,10
191,704.02400013,704.79100009,705.913000069,705.933999977,706.46,"Left","Safebet","WouldHaveLost",0.2,10,4,20,10,0,10
192,707.481000147,708.246000013,709.229000053,709.249000034,709.77400013,"Right","Safebet","WouldHaveLost",0.5,10,10,20,10,0,10
193,710.794000111,711.558999977,712.305999956,712.326000175,712.851000032,"Left","Gamble","Win",0.9,27,27,30,30,3,20
194,713.871000013,714.637000046,715.430999956,715.452000103,715.976000032,"Right","Safebet","WouldHaveLost",0.4,10,6,15,10,0,10
195,716.998000107,717.764000139,718.677000008,718.698000154,719.222000084,"Right","Gamble","Win",0.9,22.5,22.5,25,25,2.5,15
196,720.242000065,721.008000097,721.946000061,721.966999969,722.492000065,"Left","Gamble","Win",0.4,6,6,15,15,9,5
197,723.512000046,724.275999985,724.965000114,724.986000023,725.509000025,"Left","Gamble","Win",0.6,9,9,15,15,6,5
198,726.531000099,727.295999966,728.765999994,728.785999975,729.311000071,"Left","Gamble","Win",0.5,10,10,20,20,10,10
199,730.333000145,731.098000011,731.823000154,731.844000063,732.367999992,"Right","Gamble","Win",1,15,15,15,15,0,5
200,733.389000139,734.154000006,735.022999964,735.044000111,735.568999968,"Left","Safebet","WouldHaveLost",0,10,0,20,10,0,10
